"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
282,"231",TRUE,"2025-12-10 15:59:39","Yes","Report writing","","","6","4","7","5","4","5","0","0","0","0","0","2","2","0","5","1","0","0","0","0","pride about the fact that we managed to finish a complex, multinational, multicenter study","2","the intellectual challenge, the freedom, the international context, but not a +3 because there is also a lot of stress","Clinical research","Full professor","Health sciences","Woman","53","Belgium",""
283,"216",TRUE,"2025-12-10 17:10:34","Yes","Report writing","","","5","3","5","4","3","5","4","5","3","5","3","3","2","2","2","1","1","2","1","3","Writing is a persistent process that requires multiple sessions. ","2","The topic I am studying in is my passion.","Field research","Assistant professor","Social sciences","Man","30","United States of America",""
284,"483",TRUE,"2025-12-11 01:41:00","Yes","Waiting for journal's response and revisions","","","5","2","2","2","2","2","2","2","3","3","4","0","0","0","6","4","0","0","0","3","Disappointment; getting second revisions and rejection for nonsense comments.","2","I enjoy what I am doing and how I do it. ","Lab/online research","Associate professor","Physical sciences","Man","39","South Korea",""
285,"490",TRUE,"2025-12-11 07:27:51","Yes","Data analysis","","","7","6","3","5","4","3","3","4","2","6","2","2","0","0","2","2","0","0","0","1","I run into problems in the dataset that I try to solve by checking the data archive, which slows down the analysis","2","My job is extremely interesting, but I don't always have adequate working conditions.","Field research","Full professor","Social sciences","Woman","59","Serbia",""
286,"502",TRUE,"2025-12-11 08:37:05","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","1","0","4","The study was stuck getting through the scientific review committee. They had unreasonable requests due to lack of knowledge/understanding research in my field","1","I feel I am contributing important knowledge to the world.","Clinical research","Associate professor","Health sciences","Woman","59","United States of America",""
287,"332",TRUE,"2025-12-11 09:32:35","Yes","Report writing","","","3","3","1","0","0","0","0","0","0","0","5","5","5","3","6","7","2","0","0","0","Fear. Report writing is fragile stage. I am responsible for writing it but my co authors will judge it and correct it at least 10 times before completion. I fear of their comments, I fear of how much time it will take and then I fear when we submit it to a journal that the circle starts again. Nothing is definite, I’m not even sure that the project was worth it. I question everything about the work, my competence and the significance of the results. ","-2","It’s a lot of work with little recognition for it. Salaries are ridiculous. ","Lab/online research","PhD student","Social sciences","Woman","32","Hungary",""
288,"191",TRUE,"2025-12-11 11:57:28","Yes","Report writing","","","3","1","1","1","1","2","0","0","0","0","4","5","4","4","4","7","2","2","1","1","Fear - deadline","1","Interest","Field research","PhD student","Social sciences","Woman","25","Poland",""
289,"318",TRUE,"2025-12-11 14:37:06","Yes","Data analysis","","","4","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","My most intense feeling was interest, and this is because the project I am working on is my dissertation. Thus, I am actually invested in the project and its results.","0","Thus far, I have only conducted research as a graduate student, which has its pros and cons. While I do enjoy investigating topics of interest to me, I have not had good advisors, and having to run everything by them and make changes to my work that I don't agree with just to appease them takes the fun out of it and can really delay my progress.","Lab/online research","PhD student","Social sciences","Woman","27","United States of America",""
290,"182",TRUE,"2025-12-11 14:49:54","Yes","Data analysis","","","5","2","5","4","5","5","5","5","5","4","1","0","0","0","1","2","1","1","0","1","","1","","Clinical research","Assistant professor","Health sciences","Man","42","Belgium",""
291,"164",TRUE,"2025-12-11 14:55:30","Yes","Report writing","","","5","4","3","2","2","2","0","0","0","0","4","4","0","0","0","5","0","0","0","0","","-1","","Lab/online research","PhD student","Social sciences","Woman","","",""
292,"319",TRUE,"2025-12-11 17:39:23","Yes","Report writing","","","5","4","5","4","3","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","Interested to see where the writing process takes me and what the final product will look like.","1","I enjoy the freedom to choose which tasks I do and when to do them, but there are also some downsides to being a researcher.","Lab/online research","PhD student","Social sciences","Woman","25","United States of America",""
293,"9411",TRUE,"2025-12-11 19:18:31","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","3","4","4","5","3","0","3","2","0","0","0","0","0","4","0","0","0","0","2","Interest: I'm really interested in & excited about this project","2","i get to look at interesting topics as my job and do things that are fun for me. also i like the variety of different tasks","Lab/online research","PhD student","Social sciences","Woman","28","United States of America",""
294,"250",TRUE,"2025-12-11 19:25:20","Yes","Waiting for journal's response and revisions","","","7","0","7","4","5","6","2","4","4","2","0","0","0","0","0","0","0","0","0","0","I have achieved all the goals related to the project and at this stage I can feel only pride and intrest with the results","2","Feeling that I can have an impact on improvement and development of the science","Field research","Non-academic researcher","Social sciences","Man","39","Poland",""
295,"414",TRUE,"2025-12-12 11:17:23","Yes","Report writing","","","7","5","0","0","0","0","0","0","0","0","3","3","7","3","7","2","6","3","5","7","The intense feelings were the result of conflicting information provided by the project evaluation committee and the project regulations. This created a very tense situation, and there was a real risk that half of the project costs would be deemed ineligible, even though they were compliant with the regulations and originally approved. This is, unfortunately, not a one-off situation in the world of science.","2","I'm doing what I love.","Lab/online research","Assistant professor","Life sciences","Woman","34","Poland",""
296,"1051",TRUE,"2025-12-12 11:34:08","Yes","Data collection","","","1","1","1","1","1","1","1","1","1","1","3","0","0","0","6","4","0","0","0","2","difficulty in collecting data","2","I like doing research","Field research","Associate professor","Social sciences","Woman","62","Poland",""
297,"467",TRUE,"2025-12-12 11:57:15","Yes","Report writing","","","4","0","5","0","1","4","0","0","1","0","4","6","4","6","3","7","0","0","0","0","","-1","","Lab/online research","PhD student","Life sciences","Woman","30","Poland",""
298,"199",TRUE,"2025-12-12 11:57:43","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","7","3","2","4","5","5","1","1","0","0","0","0","1","0","0","0","0","0","0","0","","2","Difficulty in combining family life with work (not enough time to devote to research activity, which makes the process longer)","Lab/online research","Associate professor","Social sciences","Woman","33","Poland",""
299,"398",TRUE,"2025-12-12 12:28:54","Yes","Data collection","","","4","1","2","1","2","4","0","0","3","0","5","5","4","0","6","6","0","0","0","5","Dissapointment in the results obtained through the data collection, because the collected results are not matching any theory easily and I fear they are either wrong or it will be very hard to discuss them in the paper. And this leads mostly to fear of me not doing the study in a timely manner - fear of not meeting the deadlines.","-2","My results are poor, and I am very slow and disorganised in my research, and not independent enough in my opinion.","Lab/online research","Assistant professor","Life sciences","Prefer not to say","34","Poland",""
300,"328",TRUE,"2025-12-12 22:47:04","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","5","5","4","5","4","7","7","2","6","7","7","5","7","7","7","2","4","2","5","My research is unpaid and I’m a low income graduate student, so it’s tough to allocate so much of my time to something without knowing whether it will provide me enough security in the long term or not. It’s hard to stay motivated sometimes because of how afraid I feel for the future, but I try my best. ","1","Lack of funding","Lab/online research","Research assistant","Social sciences","Woman","25","United States of America",""
